2023-07-12 09:54:54.224 [restartedMain] INFO  c.e.l.LeonProjectApplication - Starting LeonProjectApplication using Java 17.0.7 with PID 17568 (C:\Users\leon.yu\IdeaProjects\LeonProject\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\LeonProject)
2023-07-12 09:54:54.230 [restartedMain] INFO  c.e.l.LeonProjectApplication - The following 1 profile is active: "dev"
2023-07-12 09:54:54.260 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-12 09:54:54.260 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-12 09:54:54.760 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-12 09:54:54.801 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 3 JPA repository interfaces.
2023-07-12 09:54:55.279 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-12 09:54:55.285 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-12 09:54:55.285 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-12 09:54:55.323 [restartedMain] INFO  o.a.c.c.C.[.[.[/LeonAPI/dev] - Initializing Spring embedded WebApplicationContext
2023-07-12 09:54:55.323 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1063 ms
2023-07-12 09:54:55.404 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-12 09:54:55.574 [restartedMain] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@46312d42
2023-07-12 09:54:55.575 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-07-12 09:54:55.599 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-12 09:54:55.630 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2023-07-12 09:54:55.632 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-07-12 09:54:55.717 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 09:54:55.803 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-07-12 09:54:55.959 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 09:54:56.352 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-12 09:54:56.354 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-12 09:54:56.655 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-07-12 09:54:57.282 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7e93f713, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@a975e12, org.springframework.security.web.context.SecurityContextHolderFilter@2bb87a6b, org.springframework.security.web.header.HeaderWriterFilter@476213f8, org.springframework.web.filter.CorsFilter@503a42c3, org.springframework.security.web.authentication.logout.LogoutFilter@4e23adfe, com.example.leonproject.config.JWTAuthenticationFilter@7a2eccd2, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@12ce7e8a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@322e419b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@14d52904, org.springframework.security.web.session.SessionManagementFilter@2ba7c4ea, org.springframework.security.web.access.ExceptionTranslationFilter@4774b2a6, org.springframework.security.web.access.intercept.AuthorizationFilter@7fe4a269]
2023-07-12 09:54:57.504 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-07-12 09:54:57.533 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/LeonAPI/dev'
2023-07-12 09:54:57.542 [restartedMain] INFO  c.e.l.LeonProjectApplication - Started LeonProjectApplication in 3.643 seconds (process running for 4.296)
2023-07-12 09:54:57.608 [pool-3-thread-1] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:55:17.621 [pool-3-thread-1] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:55:37.631 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:55:57.647 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:56:17.659 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:56:36.575 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[.[.[/LeonAPI/dev] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-07-12 09:56:36.576 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-07-12 09:56:36.577 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-07-12 09:56:36.644 [http-nio-8080-exec-2] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@286eeb7e]
2023-07-12 09:56:37.671 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - 更新失敗
2023-07-12 09:56:41.462 [http-nio-8080-exec-3] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@17d70160]
2023-07-12 09:56:45.212 [http-nio-8080-exec-4] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@6a96d1a1]
2023-07-12 09:56:47.410 [http-nio-8080-exec-5] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@37380d5b]
2023-07-12 09:56:54.795 [http-nio-8080-exec-6] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@2016764b]
2023-07-12 09:56:57.693 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - ===:時間:09:56:57工時表更新成功
2023-07-12 09:56:57.770 [http-nio-8080-exec-7] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@263b610c]
2023-07-12 09:57:09.866 [http-nio-8080-exec-8] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/fail_clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@556c4e63]
2023-07-12 09:57:17.713 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - ===:時間:09:57:17工時表更新成功
2023-07-12 09:57:32.612 [http-nio-8080-exec-10] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/fail_clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@1cda259d]
2023-07-12 09:57:37.650 [http-nio-8080-exec-2] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/fail_clock_in, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@1b804e48]
2023-07-12 09:57:37.734 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - ===:時間:09:57:37工時表更新成功
2023-07-12 09:57:57.748 [pool-3-thread-2] INFO  c.e.l.schedule.TimeSheetScheduler - ===:時間:09:57:57工時表更新成功
2023-07-12 09:58:00.373 [http-nio-8080-exec-4] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/fail_clock_in_transactional, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@63fffa27]
2023-07-12 09:58:05.433 [http-nio-8080-exec-6] INFO  c.e.leonproject.aop.AccessLogAspect - Access Log - URL: http://localhost:8080/LeonAPI/dev/fail_clock_in_transactional, Method: POST, Params: [com.example.leonproject.controller.pojo.PunchClockDTO@3c976e88]
2023-07-12 09:58:09.029 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2023-07-12 09:58:09.031 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-07-12 09:58:09.036 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-07-12 10:09:51.497 [restartedMain] INFO  c.e.l.LeonProjectApplication - Starting LeonProjectApplication using Java 17.0.7 with PID 19712 (C:\Users\leon.yu\IdeaProjects\LeonProject\target\classes started by leon.yu in C:\Users\leon.yu\IdeaProjects\LeonProject)
2023-07-12 10:09:51.499 [restartedMain] INFO  c.e.l.LeonProjectApplication - The following 1 profile is active: "dev"
2023-07-12 10:09:51.526 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-07-12 10:09:51.526 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-07-12 10:09:52.006 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-07-12 10:09:52.047 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 35 ms. Found 3 JPA repository interfaces.
2023-07-12 10:09:52.511 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-12 10:09:52.517 [restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-12 10:09:52.517 [restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-12 10:09:52.556 [restartedMain] INFO  o.a.c.c.C.[.[.[/LeonAPI/dev] - Initializing Spring embedded WebApplicationContext
2023-07-12 10:09:52.556 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1030 ms
2023-07-12 10:09:52.636 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-12 10:09:53.829 [restartedMain] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-07-12 10:09:53.862 [restartedMain] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.2.5.Final
2023-07-12 10:09:53.864 [restartedMain] INFO  org.hibernate.cfg.Environment - HHH000406: Using bytecode reflection optimizer
2023-07-12 10:09:53.949 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 10:09:54.031 [restartedMain] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2023-07-12 10:09:54.043 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-12 10:09:55.185 [restartedMain] INFO  o.h.b.i.BytecodeProviderInitiator - HHH000021: Bytecode provider name : bytebuddy
2023-07-12 10:09:55.560 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2023-07-12 10:09:55.562 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-07-12 10:09:55.817 [restartedMain] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2023-07-12 10:09:56.426 [restartedMain] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62730706, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@239d5f80, org.springframework.security.web.context.SecurityContextHolderFilter@70883db8, org.springframework.security.web.header.HeaderWriterFilter@f952c5f, org.springframework.web.filter.CorsFilter@46c453bd, org.springframework.security.web.authentication.logout.LogoutFilter@3967f7db, com.example.leonproject.config.JWTAuthenticationFilter@243fc36f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4368205, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@757c9015, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@4b8c68f5, org.springframework.security.web.session.SessionManagementFilter@3547c193, org.springframework.security.web.access.ExceptionTranslationFilter@63bfe554, org.springframework.security.web.access.intercept.AuthorizationFilter@1e9f746a]
2023-07-12 10:09:56.629 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-07-12 10:09:56.657 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/LeonAPI/dev'
2023-07-12 10:09:56.666 [restartedMain] INFO  c.e.l.LeonProjectApplication - Started LeonProjectApplication in 5.475 seconds (process running for 5.922)
2023-07-12 10:09:56.669 [pool-3-thread-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-07-12 10:10:04.138 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
